cycle,fault_bias_percent,baseline_arsp_mean,fault_arsp_mean,delta_arsp_mean,baseline_sim_true_as_mean,fault_sim_true_as_mean,delta_sim_true_as_mean,baseline_gps_spd_mean,fault_gps_spd_mean,delta_gps_spd_mean,baseline_alt_mean,fault_alt_mean,delta_alt_mean,baseline_tecs_th_mean,fault_tecs_th_mean,delta_tecs_th_mean,baseline_ctun_tho_mean,fault_ctun_tho_mean,delta_ctun_tho_mean,baseline_aetr_thr_mean,fault_aetr_thr_mean,delta_aetr_thr_mean,baseline_aetr_elev_mean,fault_aetr_elev_mean,delta_aetr_elev_mean,baseline_rcou_c2_mean,fault_rcou_c2_mean,delta_rcou_c2_mean,baseline_rcou_c3_mean,fault_rcou_c3_mean,delta_rcou_c3_mean,baseline_pitch_mean,fault_pitch_mean,delta_pitch_mean,baseline_tecs_ph_mean,fault_tecs_ph_mean,delta_tecs_ph_mean,baseline_aoa_mean,fault_aoa_mean,delta_aoa_mean
1,10.0,15.000048278422838,14.983797822425615,-0.016250455997223412,15.465766883870108,14.082732939364305,-1.3830339445058026,10.545524875769454,9.150459389188397,-1.395065486581057,100.0007447260596,100.08200275933565,0.08125803327605752,0.641869526788983,0.5738742965370861,-0.06799523025189691,64.18672773382637,57.388424341002505,-6.798303392823868,64.18672773382637,57.388424341002505,-6.798303392823868,2881.220153031367,3576.4394928434003,695.2193398120335,1627.094382022472,1658.0082089552238,30.913826932751817,1612.9745318352059,1558.6,-54.37453183520597,-1.5283928350562908,-0.31995523144702126,1.2084376036092694,-0.026607199624348224,-0.0017185118712364077,0.024888687753111816,-1.523761911561873,-0.30430962623500113,1.2194522853268719
2,20.0,15.033951827202843,15.090850019544419,0.05689819234157589,15.496113702124449,12.993748733486193,-2.502364968638256,10.575910607527257,8.058079046256534,-2.5178315612707234,99.88198951406872,99.94398077031126,0.06199125624253554,0.6433947174513385,0.5204135899695849,-0.1229811274817536,64.33933536658127,52.0432935769054,-12.296041789675868,64.33933536658127,52.0432935769054,-12.296041789675868,2866.904799603523,4316.36306877079,1449.4582691672672,1626.4651685393258,1690.8628185907046,64.39765005137883,1614.2224719101123,1515.8470764617691,-98.37539544834317,-1.6714895877945288,0.8261835065389658,2.4976730943334946,-0.03200290882297223,0.13323916359254165,0.16524207241551386,-1.6931489920348264,0.8393945678698133,2.5325435599046395
3,30.0,15.016954495219256,16.06113761040702,1.0441831151877636,15.48125729174807,12.768927352984925,-2.712329938763146,10.560534326653732,7.825959466203881,-2.734574860449851,99.85200690365266,98.32800775424124,-1.5239991494114236,0.6428050005927068,0.5093673422599017,-0.1334376583328052,64.27879204528442,50.93902728701598,-13.339764758268437,64.27879204528442,50.93902728701598,-13.339764758268437,2870.746112783452,4482.399232367986,1611.6531195845337,1626.6469265367316,1698.2423564504102,71.59542991367857,1613.7338830584708,1507.0313199105146,-106.7025631479562,-1.6912881031386677,1.1699573928024967,2.8612454959411644,-0.03642863903738809,0.24305923063474805,0.2794878696721361,-1.6876241016700473,1.1524110955756102,2.8400351972456575
4,40.0,14.990997877336087,17.301614541546563,2.3106166642104764,15.460226376971043,12.773076498326962,-2.6871498786440817,10.538921266231897,7.821389267179701,-2.717531999052196,99.83310200220131,96.08913343467798,-3.743968567523339,0.6418924196098084,0.5095468209467856,-0.13234559866302276,64.18764584035759,50.961074172078725,-13.226571668278865,64.18764584035759,50.961074172078725,-13.226571668278865,2877.9839606227647,4461.672294950875,1583.6883343281102,1626.948795180723,1697.388270230141,70.43947504941798,1613.000753012048,1507.2160356347438,-105.78471737730433,-1.6250313758984747,1.2941116412708145,2.919143017169289,-0.03634999684737365,0.25413315660115954,0.2904831534485332,-1.632858401962689,1.2675508523574548,2.900409254320144
5,50.0,15.023318301366029,20.19661404563592,5.17329574426989,15.488996876255067,13.91763330320724,-1.5713635730478277,10.568470655982175,8.96420863835785,-1.6042620176243254,99.71233002095859,99.36207187760283,-0.35025814335575944,0.6433383423966846,0.5682550233314472,-0.07508331906523746,64.3338920598951,56.76265418405519,-7.57123787583992,64.3338920598951,56.76265418405519,-7.57123787583992,2861.746717482872,3619.5661510450523,757.8194335621802,1626.2170022371365,1659.8610698365528,33.6440675994163,1614.1841909023117,1553.651560178306,-60.532630724005685,-1.3865829825076281,0.6185464107970597,2.0051293933046876,-0.028792798928430847,0.014736377523318763,0.04352917645174961,-1.4757864468590507,-0.07061063287585807,1.4051758139831927
6,60.0,15.02575551436635,21.55343433636338,6.52767882199703,15.48984859230813,13.92178267714071,-1.5680659151674199,10.566929317145759,8.9850675775044,-1.581861739641358,99.67497110545412,98.80347021871539,-0.8715008867387297,0.6435751529891839,0.5678375944940012,-0.07573755849518271,64.35335324176688,56.78896718096377,-7.564386060803109,64.35335324176688,56.78896718096377,-7.564386060803109,2864.4272356697684,3609.483389327775,745.0561536580067,1626.3423220973782,1659.4111940298508,33.068871932472575,1614.3333333333333,1553.8201492537314,-60.51318407960184,-1.4413221282012454,0.6207633458814625,2.062085474082708,-0.029751919483772937,0.0176847721953918,0.04743669167916474,-1.4945147074340435,-0.0967395597347319,1.3977751476993117
7,70.0,13.431091387034495,22.9772656721446,9.546174285110105,13.846005897786538,13.973029660658673,0.12702376287213468,8.908584813534956,9.03288368492275,0.1242988713877935,99.87359333534175,98.05759179183627,-1.8160015435054788,0.5629856174900418,0.5713134182591653,0.008327800769123428,56.282332881484535,57.13973036139182,0.8573974799072843,56.282332881484535,57.13973036139182,0.8573974799072843,3722.094741160163,3565.3702390676717,-156.7245020924911,1664.3535528596187,1657.2445482866044,-7.109004573014317,1549.7764298093587,1556.5996884735202,6.823258664161585,-0.1718153795041285,0.7421789473717644,0.9139943268758929,-0.01003031780009936,0.021138843366799998,0.031169161166899356,-0.06902943673297698,-0.2686472480515741,-0.1996178113185971
8,80.0,15.026646232221209,24.34180530273553,9.315159070514321,15.497920209606457,13.97798258314342,-1.5199376264630367,10.57658117048202,9.037576202190284,-1.5390049682917368,99.65371616188314,97.91044806712148,-1.7432680947616603,0.6439822945796269,0.5716975046829744,-0.07228478989665243,64.39633419089121,57.180451190264094,-7.215883000627116,64.39633419089121,57.180451190264094,-7.215883000627116,2859.3704705126916,3559.270189745872,699.8997192331803,1626.0741337630943,1657.0734292202876,30.999295457193284,1614.6889605157132,1556.9409538228615,-57.74800669285173,-1.562699142528291,0.8451091551435527,2.407808297671844,-0.03324228877078,0.022053216763059467,0.05529550553383947,-1.617551697211966,-0.24960622126562873,1.3679454759463372
9,90.0,13.624004420112161,25.791312819651324,12.167308399539163,14.049535334087622,14.03022841798267,-0.019306916104952165,9.109893911238405,9.09287494398342,-0.01701896725498564,99.77477820376133,97.77363572511992,-2.0011424786414125,0.5732351488361322,0.5743558106540274,0.0011206618178951633,57.29556906621869,57.450313597102294,0.15474453088360463,57.29556906621869,57.450313597102294,0.15474453088360463,3618.2101896801983,3527.0435395864006,-91.16665009379767,1659.904255319149,1655.619300911854,-4.28495440729489,1557.7895136778116,1559.112462006079,1.3229483282675574,-0.32038243678837197,0.9561814897011479,1.2765639264895199,-0.013781379834100237,0.022609641908281995,0.036391021742382235,-0.24251526615368574,-0.2010049047705473,0.04151036138313843
10,100.0,13.676568749709768,27.195538359803038,13.51896961009327,14.100597856633634,14.053135184066422,-0.04746267256721204,9.162654589889641,9.114316419154738,-0.048338170734902874,99.73142280348812,97.84244216205282,-1.888980641435296,0.5754603916417856,0.5754225856740312,-3.780596775448952e-05,57.529697527368384,57.549980611029426,0.0202830836610417,57.529697527368384,57.549980611029426,0.0202830836610417,3586.126553455031,3515.5161475370614,-70.61040591796973,1658.4661144578313,1655.1544172234596,-3.3116972343716498,1559.7665662650602,1559.944320712695,0.1777544476346975,-0.2040027356853832,0.9903714020073459,1.194374137692729,-0.01459001592341144,0.022627578597301565,0.03721759452071301,-0.12315849119621082,-0.13521879746843,-0.01206030627221917
11,110.0,13.723134819636497,28.686965263846638,14.96383044421014,14.143982287434334,14.118685711184897,-0.025296576249436598,9.207589145876327,9.177900451162587,-0.02968869471373914,99.72238735712602,97.43702665330633,-2.2853607038196913,0.5778277160314621,0.5791240624129902,0.0012963463815280907,57.75950723264293,57.92649856858531,0.16699133594237736,57.75950723264293,57.92649856858531,0.16699133594237736,3563.283661304191,3463.0600960724064,-100.2235652317845,1657.4236006051437,1652.77710320902,-4.646497396123777,1561.481845688351,1562.9540329575022,1.4721872691511635,-0.21140014486822037,1.1404696112467947,1.351869756115015,-0.014447736216705497,0.026001642691476548,0.040449378908182045,-0.14076941978672278,-0.1925478324353687,-0.05177841264864591
12,120.0,15.019287438291576,29.840215122859902,14.820927684568327,15.484379879400743,14.019500484305533,-1.4648793950952097,10.559523582458496,9.079200414510874,-1.4803231679476223,99.69578951068722,97.75912024731464,-1.936669263372579,0.6433337794792675,0.5739654494796285,-0.06936832999963904,64.32767975982925,57.40850640075168,-6.919173359077568,64.32767975982925,57.40850640075168,-6.919173359077568,2865.4115505056743,3532.442091642484,667.0305411368095,1626.373939861218,1655.892555640829,29.518615779610855,1614.124903623747,1558.7145049884882,-55.410398635258844,-1.361566844589451,0.9333290878457466,2.294895932435198,-0.029625980682340892,0.02246460808180058,0.05209058876414147,-1.3975515503414793,-0.2260635791370116,1.1714879712044677
13,130.0,15.025803065925055,31.206117096848374,16.18031403092332,15.48944531973492,14.02266978204977,-1.46677553768515,10.565360051415833,9.083600440679811,-1.481759610736022,99.71468082753972,97.70288462608865,-2.0117962014510766,0.643486665764105,0.5741880283815655,-0.0692986373825395,64.34343899350831,57.431707379203175,-6.91173161430514,64.34343899350831,57.431707379203175,-6.91173161430514,2864.988523926513,3527.6721924595863,662.6836685330732,1626.3470764617691,1655.6485849056603,29.30150844389118,1614.2631184407796,1558.940251572327,-55.32286686845259,-1.4927072451747339,0.9648579546841998,2.4575651998589336,-0.03178936047898082,0.023048693633190995,0.05483805411217182,-1.525040426169442,-0.23148502630830603,1.2935553998611358
