bias_percent,attempt_id,behavior_class,stop_reason,max_seq_reached,auto_to_rtl_transition_seq,injection_alt_m,altitude_loss_m,post_min_alt_m,post_arsp_mean_mps,post_gps_mean_mps,post_arsp_minus_gps_mean_mps,east_arsp_minus_gps_mean_mps,west_arsp_minus_gps_mean_mps,throttle_mean_pct,requested_sim_arspd_ratio,raw_attempt_dir
10,ratio_bias_p10__rep_01__attempt_001,nominal_completion,planned_rtl_stabilized,9,8,93.278,3.6310000000000002,89.647,15.205551286498212,13.415979538482498,1.789571748015713,5.816727436443237,-3.896503164148175,57.68122649696269,1.652892561983471,var/runs/airspeed_failure_behavior_ratio_p10_20260608T121445Z/ratio_bias_p10/runs/attempt_001
10,ratio_bias_p10__rep_01__attempt_003,nominal_completion,planned_rtl_stabilized,9,8,94.973,4.992999999999995,89.98,15.193983297442227,13.406384512409785,1.787598785032442,5.838557280992207,-3.8915781596020853,57.61533991865195,1.652892561983471,var/runs/airspeed_failure_behavior_ratio_p10_20260608T121445Z/ratio_bias_p10/runs/attempt_003
10,ratio_bias_p10__rep_01__attempt_004,nominal_completion,planned_rtl_stabilized,9,8,92.295,2.8730000000000047,89.422,15.216728235545911,13.427328039691101,1.7894001958548091,5.810968796999499,-3.8877218884307068,57.71515326778485,1.652892561983471,var/runs/airspeed_failure_behavior_ratio_p10_20260608T121445Z/ratio_bias_p10/runs/attempt_004
20,ratio_bias_p20__rep_01__attempt_001,nominal_completion,planned_rtl_stabilized,9,8,94.033,7.170000000000002,86.863,15.460895219005936,12.276226280602772,3.184668938403165,7.047283243748449,-2.619303428304183,52.88069989395546,1.3888888888888888,var/runs/airspeed_failure_behavior_ratio_p20_20260608T124125Z/ratio_bias_p20/runs/attempt_001
20,ratio_bias_p20__rep_01__attempt_002,nominal_completion,planned_rtl_stabilized,9,8,93.086,6.397000000000006,86.689,15.47223600660773,12.28435276461746,3.187883241990271,7.043282988811693,-2.6271874583779407,52.92798517341806,1.3888888888888888,var/runs/airspeed_failure_behavior_ratio_p20_20260608T124125Z/ratio_bias_p20/runs/attempt_002
20,ratio_bias_p20__rep_01__attempt_003,nominal_completion,planned_rtl_stabilized,9,8,92.991,6.242000000000004,86.749,15.475243112414105,12.286789779597438,3.1884533328166675,7.040836491735813,-2.6198640758206384,52.92930897537728,1.3888888888888888,var/runs/airspeed_failure_behavior_ratio_p20_20260608T124125Z/ratio_bias_p20/runs/attempt_003
30,ratio_bias_p30__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,94.422,7.935000000000002,86.487,16.87837666869479,12.305539305971186,4.572837362723606,8.286408320421309,-1.1286221710550002,53.53123345685548,1.1834319526627217,var/runs/airspeed_failure_behavior_ratio_p30_20260608T125821Z/ratio_bias_p30/runs/attempt_001
30,ratio_bias_p30__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,93.871,7.060999999999993,86.81,16.90197147831435,12.323522859058233,4.578448619256119,8.28702587428994,-1.140305359987191,53.60243837794858,1.1834319526627217,var/runs/airspeed_failure_behavior_ratio_p30_20260608T125821Z/ratio_bias_p30/runs/attempt_002
30,ratio_bias_p30__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,92.986,6.1270000000000095,86.859,16.907395443759565,12.32747785448396,4.579917589275607,8.288588261920328,-1.1311906640247633,53.601802757158005,1.1834319526627217,var/runs/airspeed_failure_behavior_ratio_p30_20260608T125821Z/ratio_bias_p30/runs/attempt_003
40,ratio_bias_p40__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,94.198,9.86699999999999,84.331,18.256431645919196,12.33588993577828,5.920541710140916,9.57632839257323,0.28869422896083813,53.754977435625165,1.0204081632653064,var/runs/airspeed_failure_behavior_ratio_p40_20260608T142724Z/ratio_bias_p40/runs/attempt_001
40,ratio_bias_p40__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,93.174,8.691000000000003,84.483,18.262551995375503,12.334423426605865,5.9281285687696395,9.573471645894564,0.30242608566202056,53.783138918345706,1.0204081632653064,var/runs/airspeed_failure_behavior_ratio_p40_20260608T142724Z/ratio_bias_p40/runs/attempt_002
40,ratio_bias_p40__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.681,8.308999999999997,85.372,18.238867109828835,12.325539020571748,5.913328089257087,9.56488295294681,0.28171651910393786,53.719139899123974,1.0204081632653064,var/runs/airspeed_failure_behavior_ratio_p40_20260608T142724Z/ratio_bias_p40/runs/attempt_003
50,ratio_bias_p50__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,93.559,11.951999999999998,81.607,20.309328196648654,13.092726538323372,7.216601658325281,11.2691086432606,1.4379245037728168,56.445919231855406,0.8888888888888888,var/runs/airspeed_failure_behavior_ratio_p50_20260608T144048Z/ratio_bias_p50/runs/attempt_001
50,ratio_bias_p50__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,92.253,11.887,80.366,20.32087629927447,13.10924214920867,7.211634150065799,11.248863840943391,1.4331738721878133,56.50917819824908,0.8888888888888888,var/runs/airspeed_failure_behavior_ratio_p50_20260608T144048Z/ratio_bias_p50/runs/attempt_002
50,ratio_bias_p50__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.29,12.650000000000006,80.64,20.31994357966865,13.100516903706776,7.2194266759618735,11.273503358820932,1.418686622986819,56.47472465405253,0.8888888888888888,var/runs/airspeed_failure_behavior_ratio_p50_20260608T144048Z/ratio_bias_p50/runs/attempt_003
60,ratio_bias_p60__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,93.922,16.221000000000004,77.701,21.681055975445794,13.108431080617516,8.572624894828278,12.645884828235745,2.7690142198042436,56.509049773755656,0.7812499999999999,var/runs/airspeed_failure_behavior_ratio_p60_20260608T145338Z/ratio_bias_p60/runs/attempt_001
60,ratio_bias_p60__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,93.866,17.022000000000006,76.844,21.686458254831408,13.113026532921856,8.573431721909554,12.650049918926204,2.7770461630313954,56.55429864253394,0.7812499999999999,var/runs/airspeed_failure_behavior_ratio_p60_20260608T145338Z/ratio_bias_p60/runs/attempt_002
60,ratio_bias_p60__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.915,16.327000000000012,77.588,21.695579580591815,13.106415669842542,8.58916391074927,12.670500834300201,2.7677492855704404,56.52714932126697,0.7812499999999999,var/runs/airspeed_failure_behavior_ratio_p60_20260608T145338Z/ratio_bias_p60/runs/attempt_003
70,ratio_bias_p70__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,91.286,18.046999999999997,73.239,23.09077003681535,13.143298922336495,9.947471114478857,14.027257347422024,4.107422853153657,56.658288619034174,0.6920415224913495,var/runs/airspeed_failure_behavior_ratio_p70_20260608T150628Z/ratio_bias_p70/runs/attempt_001
70,ratio_bias_p70__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,93.974,19.176000000000002,74.798,23.052502176340887,13.129488282074217,9.923013894266672,14.039761679513115,4.071456746852144,56.61849547511312,0.6920415224913495,var/runs/airspeed_failure_behavior_ratio_p70_20260608T150628Z/ratio_bias_p70/runs/attempt_002
70,ratio_bias_p70__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,95.293,18.826000000000008,76.467,23.034447247273214,13.125041957057556,9.909405290215656,14.061890009128847,4.066997746203808,56.57411095305832,0.6920415224913495,var/runs/airspeed_failure_behavior_ratio_p70_20260608T150628Z/ratio_bias_p70/runs/attempt_003
80,ratio_bias_p80__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,93.102,21.03800000000001,72.064,24.464303237820104,13.147114576257731,11.317188661562371,15.431809332145637,5.4432026776400475,56.70277149321267,0.6172839506172839,var/runs/airspeed_failure_behavior_ratio_p80_20260608T151917Z/ratio_bias_p80/runs/attempt_001
80,ratio_bias_p80__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,93.99,20.932999999999993,73.057,24.437059405170512,13.155773543932867,11.281285861237645,15.440864229917128,5.393962849951146,56.72234826999433,0.6172839506172839,var/runs/airspeed_failure_behavior_ratio_p80_20260608T151917Z/ratio_bias_p80/runs/attempt_002
80,ratio_bias_p80__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.909,21.14200000000001,72.767,24.454308787553913,13.153915722984769,11.300393064569144,15.44740151723226,5.378955631970085,56.742776203966,0.6172839506172839,var/runs/airspeed_failure_behavior_ratio_p80_20260608T151917Z/ratio_bias_p80/runs/attempt_003
90,ratio_bias_p90__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,93.689,23.282999999999987,70.406,25.874900897389033,13.185104974210093,12.689795923178938,16.849214551450146,6.7892785747719016,56.84117980714691,0.554016620498615,var/runs/airspeed_failure_behavior_ratio_p90_20260608T153204Z/ratio_bias_p90/runs/attempt_001
90,ratio_bias_p90__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,93.202,23.006,70.196,25.834738596071098,13.181402379276056,12.653336216795044,16.80150244798375,6.708970708388058,56.80430472953837,0.554016620498615,var/runs/airspeed_failure_behavior_ratio_p90_20260608T153204Z/ratio_bias_p90/runs/attempt_002
90,ratio_bias_p90__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.523,23.201999999999998,70.321,25.886855612513166,13.171512749669779,12.715342862843388,16.88032569568243,6.793286364129249,56.81165158371041,0.554016620498615,var/runs/airspeed_failure_behavior_ratio_p90_20260608T153204Z/ratio_bias_p90/runs/attempt_003
100,ratio_bias_p100__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,92.897,23.034000000000006,69.863,27.192398187906115,13.168015180957818,14.024383006948295,18.22034744845116,8.04921150004394,56.77661677492234,0.5,var/runs/airspeed_failure_behavior_ratio_p100_20260608T154448Z/ratio_bias_p100/runs/attempt_001
100,ratio_bias_p100__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.771,23.230999999999995,70.54,27.2340478496118,13.186700597811829,14.047347251799973,18.229586067653837,8.126098880931192,56.79744318181818,0.5,var/runs/airspeed_failure_behavior_ratio_p100_20260608T154448Z/ratio_bias_p100/runs/attempt_003
-10,ratio_bias_m10__rep_01__attempt_001,nominal_completion,planned_rtl_stabilized,9,8,93.512,2.953000000000003,90.559,15.119771473580537,16.82067902519719,-1.7009075516166536,2.599614881980392,-7.070856148478062,72.67654409139593,2.4691358024691357,var/runs/airspeed_failure_behavior_ratio_m10_20260609T103836Z/ratio_bias_m10/runs/attempt_001
-10,ratio_bias_m10__rep_01__attempt_002,nominal_completion,planned_rtl_stabilized,9,8,94.168,3.5700000000000074,90.598,15.11084671177071,16.81339973998359,-1.7025530282128802,2.597800970439303,-7.075335496649108,72.61277658815132,2.4691358024691357,var/runs/airspeed_failure_behavior_ratio_m10_20260609T103836Z/ratio_bias_m10/runs/attempt_002
-10,ratio_bias_m10__rep_01__attempt_003,nominal_completion,planned_rtl_stabilized,9,8,92.43,1.6750000000000114,90.755,15.124656929879562,16.833684486135844,-1.7090275562562844,2.584615653812116,-7.083179697563489,72.70760442699036,2.4691358024691357,var/runs/airspeed_failure_behavior_ratio_m10_20260609T103836Z/ratio_bias_m10/runs/attempt_003
-20,ratio_bias_m20__rep_01__attempt_001,nominal_completion,planned_rtl_stabilized,9,8,92.289,0.0,92.289,13.115270396979065,17.061145679906385,-3.9458752829273207,0.38536207895752383,-8.121260308216048,70.6409041195771,3.1249999999999996,var/runs/airspeed_failure_behavior_ratio_m20_20260609T104931Z/ratio_bias_m20/runs/attempt_001
-20,ratio_bias_m20__rep_01__attempt_002,nominal_completion,planned_rtl_stabilized,9,8,93.111,0.05500000000000682,93.056,13.10312403770295,17.017639438153175,-3.914515400450225,0.38316544988073004,-8.103807232978586,70.60976491862567,3.1249999999999996,var/runs/airspeed_failure_behavior_ratio_m20_20260609T104931Z/ratio_bias_m20/runs/attempt_002
-20,ratio_bias_m20__rep_01__attempt_003,nominal_completion,planned_rtl_stabilized,9,8,92.984,0.0,92.984,13.110134474965495,17.02237162369205,-3.9122371487265557,0.3816927683109273,-8.099938161826895,70.61287988422576,3.1249999999999996,var/runs/airspeed_failure_behavior_ratio_m20_20260609T104931Z/ratio_bias_m20/runs/attempt_003
-30,ratio_bias_m30__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,93.926,9.460999999999999,84.465,12.05054979073568,18.185243465323275,-6.134693674587595,-2.33297313451767,-9.461080507276353,74.59551430781129,4.0816326530612255,var/runs/airspeed_failure_behavior_ratio_m30_20260609T110035Z/ratio_bias_m30/runs/attempt_001
-30,ratio_bias_m30__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,94.471,8.948999999999998,85.522,12.054137289293589,18.19238065437854,-6.13824336508495,-2.3277676390807662,-9.534057900227053,74.59048723897912,4.0816326530612255,var/runs/airspeed_failure_behavior_ratio_m30_20260609T110035Z/ratio_bias_m30/runs/attempt_002
-30,ratio_bias_m30__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,94.904,8.634999999999991,86.269,12.057603769524153,18.200627545423284,-6.143023775899133,-2.3426180534961962,-9.467349887419378,74.66007751937984,4.0816326530612255,var/runs/airspeed_failure_behavior_ratio_m30_20260609T110035Z/ratio_bias_m30/runs/attempt_003
-40,ratio_bias_m40__rep_01__attempt_001,loss_of_control_or_timeout,low_altitude_abort,7,,93.595,78.705,14.89,11.800548597920661,16.171627155812395,-4.371078557891734,-3.8018842259092196,-4.791324883056202,80.85214857975237,5.555555555555555,var/runs/airspeed_failure_behavior_ratio_m40_20260609T111108Z/ratio_bias_m40/runs/attempt_001
-40,ratio_bias_m40__rep_01__attempt_002,loss_of_control_or_timeout,low_altitude_abort,7,,92.427,79.974,12.453,11.72067145266328,16.15046975704674,-4.429798304383458,-3.973982661558996,-5.03522912058337,80.49380917698471,5.555555555555555,var/runs/airspeed_failure_behavior_ratio_m40_20260609T111108Z/ratio_bias_m40/runs/attempt_002
-40,ratio_bias_m40__rep_01__attempt_003,loss_of_control_or_timeout,low_altitude_abort,7,,93.986,79.244,14.742,11.755783412374898,16.190229190151275,-4.434445777776375,-3.8028418798556274,-5.340324694769723,80.81718863801893,5.555555555555555,var/runs/airspeed_failure_behavior_ratio_m40_20260609T111108Z/ratio_bias_m40/runs/attempt_003
-50,ratio_bias_m50__rep_01__attempt_001,degraded_completion,planned_rtl_stabilized,9,8,93.91,7.8729999999999905,86.037,6.7797542076844435,13.094432107463682,-6.314677899779237,-2.346985037901395,-11.953232679938862,56.29892533936651,8.0,var/runs/airspeed_failure_behavior_ratio_m50_20260609T111832Z/ratio_bias_m50/runs/attempt_001
-50,ratio_bias_m50__rep_01__attempt_002,degraded_completion,planned_rtl_stabilized,9,8,95.043,8.62400000000001,86.419,6.79228560075461,13.131030230780272,-6.338744630025663,-2.3411550091762168,-11.95759210025563,56.40655270655271,8.0,var/runs/airspeed_failure_behavior_ratio_m50_20260609T111832Z/ratio_bias_m50/runs/attempt_002
-50,ratio_bias_m50__rep_01__attempt_003,degraded_completion,planned_rtl_stabilized,9,8,93.718,7.260000000000005,86.458,6.7898281922080495,13.097892778197846,-6.308064585989796,-2.329360763648806,-11.953058056652864,56.28184128777182,8.0,var/runs/airspeed_failure_behavior_ratio_m50_20260609T111832Z/ratio_bias_m50/runs/attempt_003
