attempt_id,combo_key,run_alias,certified_run_alias,x_wind_mps,y_wind_mps,wind_magnitude_mps,wind_angle_deg_from_east_ccw,status,success_class,analysis_position_source,relative_bin_file,source_bin_file,source_bin_size_bytes,cte_critical_mission_sha16,analysis_bin_path,analysis_square_metric_basis,analysis_loiter_metric_basis,mission_validation_ok,mission_validation_true_ok,mission_validation_square_ok,mission_validation_error_count,mission_validation_errors,true_position_source_reported,square_position_source_reported,square_sample_count,square_segment_count,square_mean_true_path_dev_m,square_rms_true_path_dev_m,square_p95_true_path_dev_m,square_max_true_path_dev_m,square_true_mean_abs_ntun_xt_m,square_true_rmse_true_vs_abs_ntun_m,square_true_max_abs_diff_vs_ntun_m,directional_asymmetry_mean_m,directional_asymmetry_rms_m,lap_count,lap_rms_mean_m,lap_rms_std_m,lap_rms_range_m,lap_rms_slope_m_per_lap,lap_path_efficiency_mean,lap_path_efficiency_std,lap_closure_error_mean_m,lap_closure_error_p95_m,corner_count,corner_mean_min_distance_m,corner_p95_min_distance_m,corner_max_min_distance_m,corner_recovery_to_5m_mean_s,corner_recovery_to_10m_mean_s,loiter_available,loiter_window_status,loiter_window_start_seq,loiter_window_end_seq,loiter_duration_s,loiter_expected_turns,loiter_turns_complete,loiter_turns_flown_total,loiter_turns_flown_after_capture,loiter_completed_turns_after_capture,loiter_capture_time_s,loiter_samples,loiter_samples_after_capture,loiter_full_window_mean_radial_error_m,loiter_full_window_rms_radial_error_m,loiter_full_window_p95_abs_radial_error_m,loiter_after_capture_mean_radial_error_m,loiter_after_capture_rms_radial_error_m,loiter_after_capture_p95_abs_radial_error_m,loiter_after_capture_fitted_radius_m,loiter_after_capture_fitted_center_offset_m,loiter_after_capture_direction,full_mission_supported_sample_count,full_mission_supported_mean_true_path_dev_m,full_mission_supported_rms_true_path_dev_m,inside_segment_sample_count,inside_segment_mean_true_path_dev_m,inside_segment_rms_true_path_dev_m,artifacts_true_summary_json,artifacts_square_summary_json,heading_northbound_sample_count,heading_northbound_mean_true_path_dev_m,heading_northbound_rms_true_path_dev_m,heading_northbound_p95_true_path_dev_m,heading_northbound_max_true_path_dev_m,heading_northbound_mean_signed_line_dev_m,heading_westbound_sample_count,heading_westbound_mean_true_path_dev_m,heading_westbound_rms_true_path_dev_m,heading_westbound_p95_true_path_dev_m,heading_westbound_max_true_path_dev_m,heading_westbound_mean_signed_line_dev_m,heading_southbound_sample_count,heading_southbound_mean_true_path_dev_m,heading_southbound_rms_true_path_dev_m,heading_southbound_p95_true_path_dev_m,heading_southbound_max_true_path_dev_m,heading_southbound_mean_signed_line_dev_m,heading_eastbound_sample_count,heading_eastbound_mean_true_path_dev_m,heading_eastbound_rms_true_path_dev_m,heading_eastbound_p95_true_path_dev_m,heading_eastbound_max_true_path_dev_m,heading_eastbound_mean_signed_line_dev_m,corner_SE_mean_min_distance_m,corner_SE_p95_min_distance_m,corner_NE_mean_min_distance_m,corner_NE_p95_min_distance_m,corner_NW_mean_min_distance_m,corner_NW_p95_min_distance_m,corner_SW_mean_min_distance_m,corner_SW_p95_min_distance_m
wind_x_00_y_00__rep_01__attempt_001,wind_x_00_y_00,run_01,run_01,0.0,0.0,0.0,0.0,success_square_only,square_loiter_only,sim,wind_x_00_y_00/runs/attempt_001/wind_x_00_y_00__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_001/wind_x_00_y_00__rep_01__attempt_001.BIN,47038464,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_001/wind_x_00_y_00__rep_01__attempt_001.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,17447,20,3.756446249142302,7.14972059148146,18.42853083170951,21.605863732613273,3.7065476728809292,1.0723352542541684,21.011706553376037,0.08716743664493398,0.1246236502723308,5,7.148959682670148,0.10665278384128243,0.29688817910064547,-0.048212324102765235,1.0115508325625844,0.00046876139812817614,3.165875116695928,3.429912236714669,20,3.07719620934862,3.155059143063016,3.2465099206426427,1.0849549,0.75098375,True,bounded_by_next_mise,23,24,264.76,5.0,True,5.00266027057561,4.991872791008731,4,33.0,6620,5795,36.90836208026369,97.76304191396672,303.804200055967,6.977120346067217,7.056774325014144,7.360559800554121,106.98228214406457,0.1812036547654973,clockwise,18089,5.065061205449578,15.083037071772065,18046,5.034386800224066,15.07527305039717,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_00_y_00__rep_01__attempt_001/sim/true_path_deviation/wind_x_00_y_00__rep_01__attempt_001_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_00_y_00__rep_01__attempt_001/sim/square_loiter_mission_metrics/wind_x_00_y_00__rep_01__attempt_001_square_loiter_summary.json,4362,3.801000176948783,7.241267069789787,18.5819506216229,21.605863732613273,-2.5207715110337467,4360,3.756415051586046,7.118867592021154,18.37940452686238,20.86132195607693,-2.4705675864889898,4365,3.7545188005258208,7.121308915149485,18.377693506366832,21.03397032243641,-2.46079155980034,4360,3.713832740303849,7.116643419517456,18.37884793012847,20.74998485661605,-2.5377831127954806,3.081284715297328,3.2272571253627214,3.066756289689951,3.107997758622768,3.0865223388176104,3.1362562054377516,3.07422149358959,3.1098423807807367
wind_x_04_y_00__rep_01__attempt_001,wind_x_04_y_00,run_01,run_01,4.0,0.0,4.0,0.0,success_square_only,square_loiter_only,sim,wind_x_04_y_00/runs/attempt_001/wind_x_04_y_00__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_001/wind_x_04_y_00__rep_01__attempt_001.BIN,50229248,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_001/wind_x_04_y_00__rep_01__attempt_001.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,18555,20,3.787407470578682,7.808765326424707,20.94038621486268,35.42272281122217,3.7378941745076926,1.0587319651185394,21.45379700081196,4.040349543338965,6.226828792855256,5,7.80248829409633,0.3229000092035483,0.8583566484486571,-0.16744714388920284,1.0139229940976393,0.0006929572961148399,1.6743442086234743,2.1137744481649867,20,3.2297128928705567,4.936793597203453,5.328041679812596,1.15294065,0.79895885,True,bounded_by_next_mise,23,24,292.26,5.0,True,5.00229241156298,4.9966080516160405,4,45.14,7307,6179,44.453877841932304,109.80421889704121,338.77383741212026,7.135405461410182,7.227728003223255,7.9829986175364995,107.2153946629923,0.6763059766983346,clockwise,19095,4.280408543902563,10.567891707588807,18996,4.213848540636643,10.521910517575208,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_04_y_00__rep_01__attempt_001/sim/true_path_deviation/wind_x_04_y_00__rep_01__attempt_001_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_04_y_00__rep_01__attempt_001/sim/square_loiter_mission_metrics/wind_x_04_y_00__rep_01__attempt_001_square_loiter_summary.json,4599,5.490251982828944,10.657389362451175,27.59195892337646,35.42272281122217,-4.244080995456424,5912,2.0135088274699138,4.430560569595919,12.272417261794349,20.861272575286876,-1.0928986829436467,4535,2.619365719159133,5.035752886778673,12.013041799057104,21.161037128935213,-1.2178398235809587,3509,6.053858370808879,10.379197944651688,24.790850600106822,26.071024743626356,-4.454702105896148,1.6999959280341383,2.1137744481649867,3.4557669388295524,3.7184080404477426,4.973240675864034,5.245673662421198,2.789848028754503,2.8940943772786167
wind_x_08_y_00__rep_01__attempt_001,wind_x_08_y_00,run_01,run_01,8.0,0.0,8.0,0.0,success_square_only,square_loiter_only,sim,wind_x_08_y_00/runs/attempt_001/wind_x_08_y_00__rep_01__attempt_001.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_001/wind_x_08_y_00__rep_01__attempt_001.BIN,63115264,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_001/wind_x_08_y_00__rep_01__attempt_001.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,23218,20,3.9206269426702054,9.478545635032635,27.09683385190096,44.24663018511109,3.87747986270057,0.9845399535677989,21.461580880571734,8.13283351226731,13.152076253225037,5,9.478067093714532,0.06813817805007326,0.19184050309061718,0.0444009367637319,1.0197140969027212,0.0010700214218683857,0.9866793747968942,1.5433640522071377,20,3.9124994759131164,7.567940646588447,7.5854791055587505,1.4930876,1.05105615,True,bounded_by_next_mise,23,24,382.65999999999997,5.0,True,5.001794096275531,5.001546880064603,5,71.06,9567,7791,52.241946504583126,119.99270110319439,357.5913249868506,7.83656445862134,7.99220296274551,10.636226334510376,108.31744731940644,1.647938210203715,clockwise,23701,4.039596260188902,9.925417745822498,23509,3.939128084763527,9.849860261754419,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_08_y_00__rep_01__attempt_001/sim/true_path_deviation/wind_x_08_y_00__rep_01__attempt_001_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_08_y_00__rep_01__attempt_001/sim/square_loiter_mission_metrics/wind_x_08_y_00__rep_01__attempt_001_square_loiter_summary.json,5550,8.328782163900476,15.555470471336374,40.31263814783586,44.24663018511109,-6.773161030259266,9390,0.8300241458250179,2.4033942181113366,5.533691887056947,21.284286640416042,-0.1460158432521231,5292,1.9363861770424373,4.1203359218567055,7.4926048874885876,21.50610841869248,-0.13594668841430513,2986,8.962857658092327,14.162720842591238,31.623084347296214,32.97283317319071,-6.938343292390771,0.7923463353022104,1.0336858368389867,4.59861083368475,4.854051247177496,7.470134176663005,7.581786798407108,2.7889065580024988,2.9052091173470824
wind_x_00_y_00__rep_02__attempt_002,wind_x_00_y_00,run_02,run_02,0.0,0.0,0.0,0.0,success_square_only,square_loiter_only,sim,wind_x_00_y_00/runs/attempt_002/wind_x_00_y_00__rep_02__attempt_002.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_002/wind_x_00_y_00__rep_02__attempt_002.BIN,46882816,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_002/wind_x_00_y_00__rep_02__attempt_002.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,17445,20,3.7516554435448217,7.146687457880299,18.423375726196973,21.478770416946702,3.700936738254252,1.0838215190100253,21.124724753690487,0.08231634873020521,0.17122569096791462,5,7.146164233063485,0.09030378609081377,0.2506516762783013,-0.042029428515508976,1.011576290084816,0.000418619732076926,3.1272679285622917,3.412432654593349,20,3.0788284876257186,3.194225975503294,3.356586615925142,1.0879539,0.7519840999999999,True,bounded_by_next_mise,23,24,264.76,5.0,True,5.002357979649847,4.99150935068951,4,33.0,6620,5795,36.91051327184227,97.75200453946813,303.7572323944929,6.986540714252783,7.065874761398265,7.3636299944396075,106.99167877950464,0.18257145547163414,clockwise,18087,5.06585722018884,15.127284536685101,18042,5.034072820916637,15.119666473666642,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_00_y_00__rep_02__attempt_002/sim/true_path_deviation/wind_x_00_y_00__rep_02__attempt_002_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_00_y_00__rep_02__attempt_002/sim/square_loiter_mission_metrics/wind_x_00_y_00__rep_02__attempt_002_square_loiter_summary.json,4360,3.7975636021962424,7.244558130268594,18.601014618741885,21.478770416946702,-2.5285156927905676,4360,3.732757148640851,7.073332439300679,18.23468918843591,20.98372401465224,-2.434771731888414,4365,3.7610430043248027,7.138825006331583,18.426715214795166,20.988600575324746,-2.4794780832254726,4360,3.7152472534660372,7.1289703687229125,18.41285352631035,20.72773888470302,-2.5512486860619257,3.057080488883674,3.175892219920001,3.1509706062129323,3.3165144789935233,3.0577446903672074,3.112269904506466,3.04951816503906,3.0828801339410634
wind_x_04_y_00__rep_02__attempt_002,wind_x_04_y_00,run_02,run_02,4.0,0.0,4.0,0.0,success_square_only,square_loiter_only,sim,wind_x_04_y_00/runs/attempt_002/wind_x_04_y_00__rep_02__attempt_002.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_002/wind_x_04_y_00__rep_02__attempt_002.BIN,50221056,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_002/wind_x_04_y_00__rep_02__attempt_002.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,18555,20,3.779545848367221,7.790221935085997,20.91622971004796,34.98697429904536,3.730017610123405,1.0617565012258101,21.41543083440098,4.0448670314973,6.198317522065813,5,7.784783808736721,0.30085981960086255,0.7928912953885181,-0.15331186695940446,1.013782407506668,0.0005434119870383535,1.6926123647452136,2.125279991716772,20,3.251453694076376,4.920531384336073,5.3607604187852465,1.1569897,0.8069578500000001,True,bounded_by_next_mise,23,24,292.26,5.0,True,5.002152293338689,4.996490521302974,4,45.14,7307,6179,44.448117370918176,109.78936257685122,338.73728656590794,7.135085992523068,7.227460263361864,7.987910941550439,107.21504197254299,0.6764460191560232,clockwise,19093,4.274034776336113,10.557642331458572,18993,4.206687643680504,10.510965273519725,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_04_y_00__rep_02__attempt_002/sim/true_path_deviation/wind_x_04_y_00__rep_02__attempt_002_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_04_y_00__rep_02__attempt_002/sim/square_loiter_mission_metrics/wind_x_04_y_00__rep_02__attempt_002_square_loiter_summary.json,4599,5.472257742727542,10.614334541307658,27.53476693005611,34.98697429904536,-4.220883395850077,5912,2.0053684678803076,4.416017019241845,12.161097772047965,21.295418589256144,-1.076918159987078,4535,2.6188633094212608,5.0360039705641295,12.019396464724938,21.20642759799118,-1.2155517835683498,3509,6.0502354993776075,10.373622463140261,24.750775583291105,26.082156693174568,-4.452481426397474,1.7122968143009487,2.125279991716772,3.518330525924347,3.8948250602141425,4.9748989918133395,5.268080622059104,2.8002884442668696,2.9197540403099986
wind_x_08_y_00__rep_02__attempt_002,wind_x_08_y_00,run_02,run_02,8.0,0.0,8.0,0.0,success_square_only,square_loiter_only,sim,wind_x_08_y_00/runs/attempt_002/wind_x_08_y_00__rep_02__attempt_002.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_002/wind_x_08_y_00__rep_02__attempt_002.BIN,63152128,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_002/wind_x_08_y_00__rep_02__attempt_002.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,23200,20,3.9029435402811545,9.435143101430375,26.964775929913174,43.32974269170171,3.8614998854154012,0.9669072265394247,21.390932227056464,8.110673729739075,13.081214878685351,5,9.432803706449373,0.15381888223865695,0.44999498078282585,0.09032258199825269,1.0195282157680412,0.0013683429518468418,0.9533363566770514,1.529560284524204,20,3.8944721230478185,7.53293412811573,7.549017412757966,1.498938,1.05495655,True,bounded_by_next_mise,23,24,382.65999999999997,5.0,True,5.001368675160243,5.001121395626992,5,71.06,9567,7791,52.23774428228095,119.97666131176013,357.5454266312512,7.8409444694735875,7.996681228173013,10.641472634731315,108.32241505404222,1.6509209349643426,clockwise,23672,3.9880621906120033,9.738887484141843,23476,3.885507113270288,9.658880984589935,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_08_y_00__rep_02__attempt_002/sim/true_path_deviation/wind_x_08_y_00__rep_02__attempt_002_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_08_y_00__rep_02__attempt_002/sim/square_loiter_mission_metrics/wind_x_08_y_00__rep_02__attempt_002_square_loiter_summary.json,5532,8.28480610838571,15.485131144147084,40.17782845219875,43.32974269170171,-6.7314263970361585,9393,0.8309109195081754,2.4039162654617336,5.510314793395139,21.26202274202774,-0.14061477935572475,5289,1.930880074369532,4.0981996160349725,7.431327753223593,21.42432788250967,-0.15163283453259205,2986,8.94158464924725,14.124173218666588,31.54794369120933,32.83924978427708,-6.902531670529024,0.7061280400744502,1.015071724707182,4.635184842594901,4.8536220997543715,7.4072195938236804,7.545631458096442,2.8293560156982425,2.9323247177581235
wind_x_00_y_00__rep_03__attempt_003,wind_x_00_y_00,run_03,run_03,0.0,0.0,0.0,0.0,success_square_only,square_loiter_only,sim,wind_x_00_y_00/runs/attempt_003/wind_x_00_y_00__rep_03__attempt_003.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_003/wind_x_00_y_00__rep_03__attempt_003.BIN,47026176,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_003/wind_x_00_y_00__rep_03__attempt_003.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,17447,20,3.7571761812712414,7.150472654177091,18.42698430005571,21.651254203979022,3.7071927037508456,1.0723511304270001,21.011706553376037,0.09139126095503425,0.13043849362047677,5,7.149685581489592,0.10843737522709708,0.30172737154085905,-0.04945162131253658,1.011545382717459,0.00047118277832993696,3.165057098490968,3.4313442852302605,20,3.076818354449766,3.1474660939393897,3.2365895679645016,1.0850548999999998,0.7530837,True,bounded_by_next_mise,23,24,264.76,5.0,True,5.002676847418193,4.991874589749897,4,33.0,6620,5795,36.90710504013045,97.76064474256003,303.80349490875716,6.976892833614444,7.05656296239027,7.356915637819446,106.98205384386748,0.18211363456083934,clockwise,18088,5.065191715592974,15.079841002641249,18046,5.035050962448062,15.07204199756311,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_00_y_00__rep_03__attempt_003/sim/true_path_deviation/wind_x_00_y_00__rep_03__attempt_003_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_00_y_00__rep_03__attempt_003/sim/square_loiter_mission_metrics/wind_x_00_y_00__rep_03__attempt_003_square_loiter_summary.json,4362,3.8041822959307057,7.244709850173113,18.582424708362822,21.651254203979022,-2.5212897241071013,4360,3.7567214348126257,7.119415049298258,18.378847929420374,20.872453878580675,-2.4706135440634394,4365,3.7549909029811306,7.12264848758281,18.364984175031157,21.03397032243641,-2.462507350788768,4360,3.7127910349756714,7.114271356552636,18.37884793012847,20.74998485661605,-2.5365984283251044,3.079292413801043,3.217826731327636,3.0636393149045418,3.11382665961301,3.087883348389883,3.137788753495181,3.076458340703596,3.114404860811171
wind_x_04_y_00__rep_03__attempt_003,wind_x_04_y_00,run_03,run_03,4.0,0.0,4.0,0.0,success_square_only,square_loiter_only,sim,wind_x_04_y_00/runs/attempt_003/wind_x_04_y_00__rep_03__attempt_003.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_003/wind_x_04_y_00__rep_03__attempt_003.BIN,50204672,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_003/wind_x_04_y_00__rep_03__attempt_003.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,18555,20,3.780971685677778,7.785688563697749,20.90611540804073,34.58753816442339,3.731221674413003,1.0599635105564953,21.43358702433318,4.031582220175405,6.1465717860989555,5,7.780752810990407,0.2870057400012077,0.7634328044189669,-0.14856695341338502,1.013894649186941,0.0007110871135487818,1.681542381059543,2.122354567474362,20,3.227314268647749,4.92072170653068,5.364566862677387,1.1529413499999999,0.79895945,True,bounded_by_next_mise,23,24,292.26,5.0,True,5.0020272932925955,4.996375070528251,4,45.14,7307,6179,44.455620051182684,109.80247410098316,338.7735899811553,7.135997352304072,7.228670534926281,7.986741858041748,107.21592659434666,0.675961005024697,clockwise,19093,4.282137202145798,10.588752607155175,18990,4.212484742308686,10.540453095052962,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_04_y_00__rep_03__attempt_003/sim/true_path_deviation/wind_x_04_y_00__rep_03__attempt_003_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_04_y_00__rep_03__attempt_003/sim/square_loiter_mission_metrics/wind_x_04_y_00__rep_03__attempt_003_square_loiter_summary.json,4599,5.461318210635416,10.588042828670595,27.517518549735964,34.58753816442339,-4.209864930788986,5912,2.018694375209671,4.4414710425716395,12.334199578954497,20.69429333914485,-1.1063278204340623,4535,2.6183870909797315,5.034320854610998,12.00396370524591,21.197349504179986,-1.2141104985062623,3509,6.050276595385077,10.37358754402556,24.755228362827147,26.071024743626356,-4.449997437767309,1.7265590755493985,2.122354567474362,3.4049565674163444,3.5682091061066985,4.9745531716958045,5.271125777172817,2.803188259929449,2.9203890210998287
wind_x_08_y_00__rep_03__attempt_003,wind_x_08_y_00,run_03,run_03,8.0,0.0,8.0,0.0,success_square_only,square_loiter_only,sim,wind_x_08_y_00/runs/attempt_003/wind_x_08_y_00__rep_03__attempt_003.BIN,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_003/wind_x_08_y_00__rep_03__attempt_003.BIN,63156224,,[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_003/wind_x_08_y_00__rep_03__attempt_003.BIN,square-only true path deviation over mission seq 3..22,loiter reported separately; after-capture metrics preferred,True,True,True,0,,sim,sim,23205,20,3.9129346110293146,9.465232244894137,27.054511740450497,43.57485122922361,3.873177919337561,0.9454017223956137,21.300151397393808,8.105390914256942,13.16325641474412,5,9.464345514758477,0.084527937048214,0.26413096209870623,0.05457405279938551,1.0195655804037014,0.0010388902270855925,0.958666117415147,1.4678024507363792,20,3.907780765624159,7.528422336897984,7.5671636016460475,1.49893755,1.05895635,True,bounded_by_next_mise,23,24,382.68,5.0,True,5.001695803856291,5.00143348332844,5,71.08,9568,7791,52.25283570851281,120.00356374282664,357.67024041628974,7.839467972764713,7.994648010844045,10.64411266269994,108.32094917872202,1.6513084395693443,clockwise,23680,4.0020780863818235,9.786876097327664,23485,3.900801322375062,9.709013872111985,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_08_y_00__rep_03__attempt_003/sim/true_path_deviation/wind_x_08_y_00__rep_03__attempt_003_true_path_deviation_summary.json,[internal]/logs/020_Old_Param_Fixed_CTE_Report/summary/corrected/per_run/wind_x_08_y_00__rep_03__attempt_003/sim/square_loiter_mission_metrics/wind_x_08_y_00__rep_03__attempt_003_square_loiter_summary.json,5538,8.328267482389059,15.561934150719095,40.333971669331675,43.57485122922361,-6.777623350293913,9392,0.8294774156025173,2.398677735974974,5.5153241706918426,21.051222346349427,-0.1442661245873678,5291,1.932640965379925,4.103703109659616,7.407724708159561,21.333547052847013,-0.1477356431121395,2984,8.934868329859459,14.116652123865299,31.501746102708598,32.816985885888776,-6.913242552674704,0.7512003655312507,0.9566898569827682,4.621475898945306,4.840715918212385,7.416836954085893,7.559007545909613,2.8416098439341857,2.9396933421162634
