combo_key,x_wind_mps,y_wind_mps,wind_magnitude_mps,attempt_count,accepted_run_count,failure_like_attempt_count,success_full_count,success_square_only_count,failed_count,interrupted_count,running_count,error_count,other_status_count,outcome,last_status,last_attempt_id,last_notes
wind_x_00_y_00,0,0,0.0,3,3,0,0,3,0,0,0,0,0,accepted_only,success_square_only,wind_x_00_y_00__rep_03__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_00/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_00,4,0,4.0,3,3,0,0,3,0,0,0,0,0,accepted_only,success_square_only,wind_x_04_y_00__rep_03__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_00/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_00_y_04,0,4,4.0,5,3,2,0,3,0,2,0,0,0,partial_failure_with_accepted,success_square_only,wind_x_00_y_04__rep_03__attempt_005,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_04/runs/attempt_005/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_04,4,4,5.656854249492381,3,3,0,0,3,0,0,0,0,0,accepted_only,success_square_only,wind_x_04_y_04__rep_03__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_04/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_00,8,0,8.0,3,3,0,0,3,0,0,0,0,0,accepted_only,success_square_only,wind_x_08_y_00__rep_03__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_00/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_00_y_08,0,8,8.0,3,3,0,0,3,0,0,0,0,0,accepted_only,success_square_only,wind_x_00_y_08__rep_03__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_08/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_04,8,4,8.94427190999916,3,3,0,0,3,0,0,0,0,0,accepted_only,success_square_only,wind_x_08_y_04__rep_03__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_04/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_08,4,8,8.94427190999916,3,2,1,0,2,0,1,0,0,0,partial_failure_with_accepted,success_square_only,wind_x_04_y_08__rep_02__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_08/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_08_y_08,8,8,11.313708498984761,2,2,0,0,2,0,0,0,0,0,accepted_only,success_square_only,wind_x_08_y_08__rep_02__attempt_002,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_08/runs/attempt_002/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_00,12,0,12.0,5,3,2,0,3,2,0,0,0,0,partial_failure_with_accepted,success_square_only,wind_x_12_y_00__rep_03__attempt_005,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_00/runs/attempt_005/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_00_y_12,0,12,12.0,1,1,0,0,1,0,0,0,0,0,accepted_only,success_square_only,wind_x_00_y_12__rep_01__attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_00_y_12/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_04,12,4,12.649110640673518,3,2,1,0,2,1,0,0,0,0,partial_failure_with_accepted,success_square_only,wind_x_12_y_04__rep_02__attempt_003,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_04/runs/attempt_003/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_04_y_12,4,12,12.649110640673518,1,1,0,0,1,0,0,0,0,0,accepted_only,success_square_only,wind_x_04_y_12__rep_01__attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_04_y_12/runs/attempt_001/wind_injection.json | completed_square_loiter_early | last_statustext=['Loiter orbits complete', 'Mission: 24 LandStart', 'Mission: 25 LoitAltitude'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir"
wind_x_12_y_08,12,8,14.422205101855956,2,0,2,0,0,1,0,1,0,0,failure_no_accepted,running,wind_x_12_y_08__rep_01__attempt_002,wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_08/runs/attempt_002/wind_injection.json
wind_x_08_y_12,8,12,14.422205101855956,1,0,1,0,0,1,0,0,0,0,failure_no_accepted,failed,wind_x_08_y_12__rep_01__attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_08_y_12/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Mission: 4 WP', 'Reached waypoint #4 dist 0m', 'Mission: 5 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True"
wind_x_12_y_12,12,12,16.97056274847714,1,0,1,0,0,1,0,0,0,0,failure_no_accepted,failed,wind_x_12_y_12__rep_01__attempt_001,"wind_injection_artifact=[internal]/logs/017_params_old_009_matrix_r3_plugin_fixed/wind_x_12_y_12/runs/attempt_001/wind_injection.json | mission_timed_out | last_statustext=['Takeoff level-off starting at 14m', 'Takeoff complete at 100.18m', 'Mission: 2 WP'] | source_bin_name=00000001.BIN | bin_collection_method=isolated_sitl_use_dir | full=False square=False loiter_completed=False accept_square_only=True"
